,Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
49581,69,Female,Houston,5,52.05,429,0
49582,66,Male,Houston,4,74.26,138,1
49584,68,Female,Houston,4,57.63,66,0
49600,66,Male,Los Angeles,21,56.6,81,1
49602,65,Female,Chicago,1,88.13,207,0
49603,65,Female,Houston,5,85.99,341,0
49606,67,Male,Los Angeles,4,36.31,272,1
49607,68,Male,Miami,13,31.94,305,0
49612,68,Male,New York,4,87.05,448,0
49622,65,Male,Los Angeles,5,59.19,425,1
49635,67,Male,New York,8,35.02,90,1
49638,65,Male,Miami,11,80.0,436,0
49654,68,Male,Houston,22,55.38,332,1
49660,68,Female,Houston,23,48.38,166,1
49669,67,Female,New York,4,40.35,446,1
49679,69,Male,Chicago,3,54.17,420,1
49691,70,Female,Miami,18,45.11,335,0
49702,65,Female,New York,3,71.12,377,1
49707,69,Male,Miami,12,70.71,449,0
49711,67,Male,Houston,4,89.59,73,0
49723,70,Male,Chicago,17,78.27,57,1
49727,70,Female,New York,19,51.48,136,0
49731,66,Male,Miami,13,68.2,493,0
49737,68,Female,Chicago,6,41.03,319,1
49742,65,Female,Los Angeles,22,32.53,489,1
49750,67,Male,Chicago,8,92.62,182,0
49795,67,Female,Miami,5,81.8,406,1
49824,69,Male,Los Angeles,14,60.93,478,1
49842,68,Male,Miami,21,71.52,272,1
49854,68,Male,Chicago,3,43.73,500,0
49855,69,Male,Miami,11,52.91,403,1
49864,67,Male,New York,8,77.12,387,1
49867,68,Female,Miami,14,48.26,436,0
49875,66,Female,Houston,22,74.01,178,0
49880,67,Male,Chicago,12,72.75,184,1
49882,68,Male,New York,5,48.96,131,0
49883,68,Male,New York,1,53.07,196,0
49888,67,Male,Houston,4,39.4,327,0
49891,68,Female,Los Angeles,11,74.19,148,0
49904,67,Female,New York,18,93.01,204,1
49905,67,Female,Chicago,7,63.22,476,0
49908,66,Female,Chicago,18,51.52,345,0
49910,69,Male,Los Angeles,23,82.2,454,0
49917,68,Female,Chicago,9,54.81,344,1
49920,65,Male,Houston,20,80.96,142,0
49928,69,Male,Miami,5,70.0,358,1
49937,68,Female,Chicago,15,72.12,240,1
49938,65,Female,Chicago,8,81.98,340,1
49942,69,Male,Miami,17,62.08,127,1
49951,68,Female,Los Angeles,16,59.76,356,0
49957,68,Female,Chicago,10,96.95,395,1
49973,66,Male,Los Angeles,13,30.92,215,1
49979,67,Male,Miami,4,63.18,491,0
49983,68,Male,Chicago,5,59.33,70,0
49992,66,Female,New York,23,61.56,465,1
49999,65,Male,New York,6,58.51,447,1
50028,68,Male,Miami,2,61.35,360,0
50042,70,Male,Houston,11,44.64,163,0
50062,69,Male,Los Angeles,5,71.66,233,1
50066,67,Female,New York,5,65.02,250,0
50072,66,Male,Miami,12,49.56,396,1
50074,66,Male,Miami,12,79.57,394,1
50080,67,Female,Chicago,13,36.59,487,0
50083,67,Male,Los Angeles,17,56.43,496,0
50117,69,Male,Chicago,10,64.64,88,1
50122,66,Male,Chicago,9,32.68,486,0
50123,66,Male,New York,18,74.11,251,0
50149,70,Female,Miami,20,42.11,330,0
50150,67,Female,Miami,11,49.81,205,1
50152,67,Male,Houston,19,93.04,393,1
50157,68,Female,New York,20,67.23,227,1
50187,66,Female,Chicago,21,50.26,150,0
50200,69,Male,Los Angeles,20,46.27,273,1
50202,66,Male,Miami,19,54.78,415,1
50211,67,Female,Chicago,18,60.13,400,1
50215,70,Female,Chicago,5,72.82,377,1
50220,67,Male,New York,14,49.24,373,0
50234,68,Female,Houston,15,70.52,264,1
50238,65,Female,Houston,7,63.51,131,1
50240,65,Male,Miami,24,38.56,229,0
50257,69,Female,Chicago,23,33.5,200,1
50258,66,Female,New York,8,91.02,124,0
50266,68,Female,Chicago,17,75.55,445,1
50268,68,Female,New York,10,88.37,215,0
50279,69,Male,New York,14,55.59,326,0
50282,70,Female,New York,5,97.52,422,0
50287,70,Female,New York,11,34.27,306,0
50290,66,Male,Miami,9,61.29,282,1
50298,65,Female,Houston,11,52.57,252,1
50302,69,Male,Chicago,12,94.05,194,1
50305,70,Female,Chicago,16,89.13,438,0
50313,69,Female,Houston,19,88.32,451,1
50322,70,Female,Houston,12,30.5,67,0
50324,66,Male,Miami,3,47.29,261,0
50338,70,Male,Miami,3,34.76,353,0
50339,67,Male,Chicago,2,70.46,474,1
50372,66,Male,Houston,18,70.5,449,1
50380,70,Female,Los Angeles,23,73.45,123,0
50388,69,Female,Houston,14,91.54,442,1
50401,70,Male,Miami,12,39.2,304,1
50405,67,Female,Houston,1,79.83,300,1
50407,68,Male,Miami,14,58.54,461,0
50418,69,Female,Los Angeles,24,89.33,186,0
50431,65,Male,Houston,24,86.76,228,0
50434,68,Female,Los Angeles,21,41.06,419,1
50451,66,Female,Houston,11,98.57,148,0
50458,66,Female,Houston,8,55.18,64,1
50475,65,Female,Houston,11,56.01,219,0
50477,70,Female,Chicago,17,74.09,188,0
50478,65,Female,Chicago,8,89.97,246,1
50480,65,Female,Miami,20,50.56,285,0
50487,67,Female,Los Angeles,8,36.78,362,0
50492,70,Female,New York,7,57.44,336,0
50503,66,Female,Houston,9,75.33,180,0
50510,70,Female,Chicago,13,63.9,413,1
50511,65,Female,New York,4,95.27,409,0
50520,70,Female,Miami,10,77.53,431,1
50521,67,Male,Chicago,10,68.23,371,0
50525,70,Female,Houston,3,40.19,424,1
50532,69,Male,New York,15,32.5,191,1
50543,70,Male,Los Angeles,9,80.96,328,1
50548,70,Female,Miami,14,30.2,371,0
50562,66,Female,Houston,2,49.57,484,0
50570,69,Male,New York,6,36.7,312,0
50585,69,Male,Miami,12,58.85,434,0
50593,68,Male,New York,12,95.69,307,0
50599,68,Male,Miami,3,87.51,70,0
50606,68,Female,New York,17,84.19,78,1
50614,69,Female,Houston,9,49.71,132,1
50618,67,Male,Los Angeles,1,67.6,135,0
50639,65,Male,Los Angeles,4,91.22,282,1
50640,68,Male,Chicago,15,41.29,148,0
50644,69,Male,Houston,17,65.03,224,1
50646,65,Female,Los Angeles,6,61.14,104,0
50652,67,Female,Houston,16,56.85,409,1
50653,68,Male,Los Angeles,23,30.81,276,1
50679,68,Female,New York,2,44.77,355,0
50686,66,Male,Houston,4,88.87,290,0
50699,68,Male,Los Angeles,1,32.12,267,1
50727,70,Male,Los Angeles,18,94.37,409,1
50729,70,Male,New York,13,47.56,130,1
50755,67,Male,Houston,2,95.48,239,1
50756,66,Male,New York,10,58.27,150,0
50763,65,Female,New York,13,49.6,326,1
50781,65,Female,Los Angeles,20,39.84,277,0
50792,65,Female,Los Angeles,20,68.74,151,1
50806,69,Male,Los Angeles,2,40.99,224,1
50818,67,Female,Los Angeles,17,54.43,407,0
50826,70,Female,Houston,9,67.65,434,0
50832,66,Male,Houston,3,64.68,404,1
50846,65,Male,Miami,17,58.37,200,1
50848,68,Female,Houston,12,34.56,288,1
50867,65,Female,Miami,18,52.14,382,1
50870,66,Male,Houston,10,42.05,111,1
50882,68,Male,Los Angeles,10,54.11,264,1
50885,66,Female,New York,20,78.28,430,1
50902,67,Male,New York,19,92.38,63,1
50905,67,Female,Chicago,21,50.29,210,0
50912,66,Female,Houston,21,96.32,76,0
50929,65,Female,New York,11,34.49,468,0
50930,66,Male,Miami,5,65.82,164,0
50945,68,Male,Houston,23,59.14,243,0
50954,66,Male,Los Angeles,15,32.1,349,0
50958,66,Female,Miami,8,52.29,200,0
50964,67,Male,Miami,10,48.5,363,0
50967,70,Male,Chicago,18,31.06,255,1
50970,69,Male,Miami,17,98.22,421,0
50971,68,Male,Los Angeles,2,53.47,275,0
50976,66,Female,Chicago,13,48.87,187,0
50978,67,Male,Miami,13,60.03,244,1
50981,67,Female,Houston,24,64.68,206,1
50985,67,Male,Chicago,22,88.41,285,1
50991,66,Female,Chicago,14,74.49,92,0
51005,65,Male,Chicago,23,85.3,307,0
51007,65,Male,Miami,24,92.48,379,1
51010,70,Female,Chicago,24,93.97,66,0
51051,69,Female,Miami,22,38.87,390,1
51059,65,Male,Los Angeles,24,82.05,496,0
51073,65,Male,New York,8,44.14,243,1
51074,70,Male,Houston,21,98.15,310,1
51076,65,Male,Miami,5,67.99,179,0
51099,69,Male,Los Angeles,22,52.8,87,1
51113,66,Male,Houston,3,40.67,76,1
51122,66,Male,Miami,14,75.57,209,0
51135,66,Male,Los Angeles,22,64.99,426,1
51142,70,Male,Houston,6,78.65,233,1
51146,70,Male,New York,1,92.48,484,0
51162,66,Female,Chicago,14,93.1,457,0
51164,68,Male,Miami,3,46.75,363,0
51181,66,Male,Los Angeles,21,85.51,474,0
51184,68,Female,Chicago,4,54.64,484,1
51190,70,Male,Miami,7,69.21,277,1
51224,70,Female,Los Angeles,9,92.53,180,1
51232,67,Male,Houston,23,87.62,344,1
51250,68,Female,Miami,17,42.5,61,0
51284,68,Male,New York,14,45.89,235,1
51293,66,Female,Houston,23,42.79,248,1
51295,67,Male,Miami,3,67.84,113,0
51317,68,Female,Miami,21,32.49,215,0
51319,66,Male,New York,23,57.1,394,1
51321,65,Male,Houston,6,93.48,103,1
51330,68,Female,Miami,23,82.4,251,0
51333,70,Male,Houston,24,72.42,274,0
51336,68,Male,Chicago,4,99.56,320,1
51348,66,Male,Los Angeles,21,32.47,396,0
51353,65,Male,Houston,15,31.05,403,0
51354,65,Female,Los Angeles,14,76.14,303,1
51373,69,Male,New York,15,45.52,118,1
51375,68,Male,Houston,11,95.46,379,1
51382,66,Male,Miami,14,91.77,397,0
51396,70,Female,Houston,6,54.35,207,0
51414,70,Male,Chicago,8,90.33,82,0
51450,67,Female,Chicago,6,40.62,495,1
51457,68,Male,Miami,23,75.15,391,0
51463,65,Female,Los Angeles,10,69.77,177,1
51465,69,Female,Houston,17,96.44,365,0
51468,66,Female,Los Angeles,4,30.94,478,1
51470,68,Male,Houston,12,49.34,212,0
51474,65,Female,Chicago,4,54.17,136,0
51485,65,Male,Houston,18,73.26,429,1
51486,69,Female,Chicago,8,72.28,395,1
51504,67,Female,New York,21,84.16,122,0
51505,65,Female,New York,9,96.6,337,0
51513,65,Male,Miami,1,98.94,254,0
51516,69,Female,Los Angeles,9,59.61,443,1
51519,69,Male,Miami,15,92.98,318,1
51524,66,Male,New York,14,62.57,272,0
51528,67,Male,Chicago,5,90.36,72,0
51532,66,Female,Houston,3,44.46,328,1
51539,70,Female,Miami,1,72.49,149,1
51545,65,Male,Los Angeles,3,95.32,176,0
51551,65,Female,Houston,12,46.65,375,0
51555,69,Male,New York,21,65.55,465,1
51563,65,Male,New York,1,60.25,97,1
51570,66,Male,Los Angeles,16,86.27,294,0
51573,66,Female,Chicago,4,55.8,128,0
51578,66,Male,Miami,7,67.72,135,1
51579,65,Male,Miami,7,75.2,179,1
51602,66,Male,Los Angeles,10,59.03,134,1
51619,65,Male,Houston,11,77.25,498,1
51632,67,Female,Houston,1,97.73,146,1
51657,69,Female,Houston,16,63.59,446,0
51670,69,Female,Los Angeles,21,43.28,185,0
51672,69,Female,New York,3,92.24,472,1
51678,66,Male,Miami,7,68.17,461,1
51685,70,Male,Houston,6,61.96,394,1
51701,70,Female,Houston,18,59.78,71,0
51705,66,Female,Houston,14,63.72,466,1
51719,69,Male,Chicago,4,60.3,240,1
51722,66,Male,New York,18,74.52,80,1
51728,69,Male,Miami,19,62.53,228,1
51731,68,Male,Houston,20,47.79,217,1
51742,66,Male,Miami,13,61.45,421,0
51751,65,Female,Los Angeles,18,82.53,443,0
51760,69,Male,New York,10,63.77,409,1
51763,69,Male,Los Angeles,23,93.81,117,1
51790,69,Male,Houston,4,71.96,199,0
51795,69,Female,Miami,13,42.19,299,0
51796,67,Male,Los Angeles,16,30.34,84,0
51804,69,Male,Chicago,10,86.79,285,1
51816,66,Male,Chicago,12,52.45,77,1
51822,67,Male,Houston,13,42.64,148,0
51823,68,Male,Los Angeles,12,43.91,166,1
51834,68,Female,Houston,19,83.48,459,1
51841,65,Female,Miami,14,40.77,261,0
51848,68,Male,New York,4,74.62,458,0
51855,65,Female,Houston,8,72.91,339,1
51872,70,Female,Houston,10,68.97,283,1
51873,68,Female,Los Angeles,7,69.74,94,0
51882,66,Female,Chicago,16,64.97,349,1
51889,67,Female,Chicago,5,87.88,372,1
51919,68,Male,New York,24,31.63,357,1
51923,68,Male,New York,2,88.69,295,0
51931,70,Female,New York,1,66.46,278,0
51938,66,Female,Miami,21,93.7,231,1
51939,67,Male,New York,7,84.58,476,0
51973,68,Male,Chicago,20,55.29,167,0
51976,69,Female,New York,11,47.22,92,1
51986,67,Male,Miami,8,36.37,223,0
52016,66,Female,New York,14,86.34,75,1
52020,68,Male,Houston,5,98.81,224,1
52028,66,Female,Los Angeles,16,55.37,206,0
52030,65,Female,Miami,11,33.07,303,0
52032,66,Male,Miami,18,54.29,93,1
52047,68,Male,Miami,1,36.23,495,1
52048,68,Female,Los Angeles,7,30.17,467,1
52049,65,Male,New York,8,71.71,396,1
52054,66,Male,Los Angeles,2,37.87,73,1
52062,66,Male,Houston,20,39.85,363,0
52063,66,Female,Chicago,24,67.97,343,1
52092,68,Male,New York,21,59.9,218,1
52100,67,Female,Houston,4,97.73,170,0
52108,66,Male,Miami,17,76.88,272,0
52122,68,Male,Chicago,22,41.3,460,0
52127,68,Female,Los Angeles,8,50.44,259,0
52128,69,Female,Houston,22,89.56,410,0
52134,69,Male,Chicago,3,50.4,433,1
52149,68,Female,Miami,24,37.65,335,0
52154,66,Female,New York,1,48.83,294,1
52163,69,Female,Los Angeles,8,78.14,257,0
52167,65,Female,Houston,15,89.86,170,0
52192,66,Male,New York,10,62.38,267,1
52196,67,Male,Miami,19,45.94,211,1
52210,70,Female,Houston,22,63.2,172,1
52225,70,Male,Chicago,20,56.81,206,1
52233,68,Male,New York,23,47.85,264,0
52245,67,Female,New York,1,80.36,101,0
52246,67,Female,Miami,13,87.43,277,0
52258,68,Male,Los Angeles,21,36.72,90,1
52270,69,Female,Los Angeles,16,78.37,68,1
52272,67,Female,Chicago,14,44.14,334,0
52275,67,Female,Miami,17,63.4,191,1
52279,70,Male,Los Angeles,9,63.43,296,0
52292,69,Female,Houston,20,33.41,412,0
52294,66,Female,Miami,20,85.03,335,0
52307,68,Male,Miami,15,55.08,55,0
52310,68,Male,New York,1,35.11,497,1
52315,65,Male,Chicago,22,85.57,86,1
52323,67,Female,Miami,6,35.73,480,0
52326,70,Female,Miami,23,45.45,403,1
52331,70,Female,New York,9,54.78,203,0
52335,70,Female,Los Angeles,12,30.93,109,0
52343,68,Female,New York,4,81.06,179,0
52349,67,Female,New York,4,46.02,456,0
52353,70,Female,Miami,10,62.38,467,1
52387,65,Male,Chicago,19,36.33,176,1
52391,69,Female,Miami,10,44.38,344,0
52396,70,Male,Los Angeles,6,93.91,416,1
52402,69,Female,Los Angeles,20,84.84,201,1
52421,69,Male,New York,23,50.17,457,1
52431,70,Male,Chicago,5,99.71,429,0
52455,70,Female,Los Angeles,11,52.06,194,1
52456,65,Female,Chicago,4,80.35,146,0
52467,67,Female,Los Angeles,18,91.12,163,0
52470,70,Female,New York,1,92.11,266,0
52482,66,Male,Los Angeles,14,38.15,269,0
52488,65,Female,Miami,8,92.24,488,1
52498,66,Female,Houston,8,55.27,79,0
52509,67,Male,New York,8,43.06,302,1
52517,66,Female,Chicago,2,60.25,474,1
52521,65,Male,Miami,18,31.1,340,0
52541,69,Male,Houston,23,91.78,444,1
52562,67,Male,Miami,21,32.85,344,0
52564,65,Female,Houston,16,62.95,406,1
52565,66,Male,Houston,17,61.02,149,0
52568,69,Male,Houston,4,51.31,370,1
52589,67,Female,Miami,2,44.85,134,0
52591,66,Female,Houston,2,34.14,463,0
52604,65,Female,New York,20,73.48,316,0
52610,66,Female,Miami,19,35.59,187,1
52617,65,Female,New York,14,46.84,113,1
52630,68,Female,Chicago,15,30.75,453,0
52650,65,Male,Houston,5,32.71,293,0
52661,66,Male,New York,15,41.61,305,1
52669,67,Male,New York,17,69.18,125,0
52685,65,Female,Chicago,12,30.6,101,0
52700,68,Female,Chicago,11,30.3,463,1
52707,66,Male,Chicago,1,42.64,317,1
52710,69,Male,Los Angeles,9,50.49,336,0
52713,68,Female,New York,10,54.23,347,0
52740,69,Male,Chicago,14,45.1,429,0
52758,67,Female,Chicago,1,98.65,264,1
52759,66,Female,Los Angeles,6,92.41,308,0
52760,67,Male,Los Angeles,23,89.32,351,1
52778,70,Female,Houston,19,83.38,337,1
52784,66,Male,Houston,10,47.2,472,1
52785,69,Female,Chicago,12,69.86,173,0
52789,69,Male,Los Angeles,7,56.42,409,1
52799,70,Female,Houston,14,58.22,484,1
52807,69,Male,Chicago,3,37.73,174,1
52814,67,Female,New York,21,63.14,204,1
52818,65,Female,New York,12,73.33,250,1
52821,65,Female,Miami,5,87.96,353,1
52824,66,Male,Chicago,10,36.35,349,0
52832,66,Male,Miami,17,42.8,181,0
52836,65,Male,New York,7,52.39,312,1
52839,67,Male,Houston,17,72.02,380,1
52847,66,Male,Houston,3,98.25,222,1
52848,67,Male,Miami,17,56.92,496,0
52863,69,Female,Miami,9,41.86,451,0
52864,67,Male,Los Angeles,3,83.5,158,0
52867,70,Male,New York,24,84.63,408,1
52872,65,Male,Los Angeles,21,62.31,107,0
52878,69,Female,Miami,11,76.54,339,1
52881,67,Male,Los Angeles,11,97.97,295,0
52885,69,Male,Chicago,16,97.69,164,0
52893,69,Female,Chicago,23,50.47,170,1
52895,70,Male,Miami,21,72.74,140,0
52902,69,Female,New York,17,62.97,157,1
52908,68,Male,Houston,11,34.62,235,0
52915,66,Male,New York,10,44.85,450,1
52919,68,Male,Chicago,20,86.74,301,0
52927,70,Female,Houston,6,54.44,146,1
52933,69,Female,New York,15,96.31,294,1
52934,70,Male,Houston,20,98.08,98,0
52947,66,Female,Miami,9,37.86,392,0
52953,69,Female,Los Angeles,18,68.77,348,0
52960,70,Female,Chicago,18,60.25,189,0
52968,67,Female,Houston,11,53.82,320,1
52974,68,Female,Miami,9,88.58,447,0
52980,66,Male,Los Angeles,11,94.53,118,0
52981,70,Female,Los Angeles,23,82.82,68,1
53013,67,Male,Chicago,23,53.13,83,1
53016,66,Male,Chicago,18,45.27,139,0
53026,70,Male,Los Angeles,23,79.55,387,1
53027,65,Female,Miami,22,83.72,487,1
53028,66,Female,Miami,1,91.27,360,0
53035,70,Male,New York,13,39.44,214,1
53036,69,Male,Los Angeles,9,89.74,136,0
53037,67,Male,Miami,2,53.64,405,1
53048,65,Female,Houston,6,50.25,330,0
53053,68,Male,Chicago,20,66.97,451,0
53057,70,Male,Houston,7,40.92,475,0
53066,65,Female,Los Angeles,9,82.88,333,0
53078,66,Male,New York,2,56.47,140,0
53087,70,Female,Miami,15,33.78,313,0
53088,67,Female,Chicago,15,63.44,441,0
53096,65,Female,New York,20,64.18,203,0
53113,68,Female,Chicago,11,54.32,420,0
53115,67,Male,New York,22,58.94,141,0
53116,68,Female,Chicago,8,50.93,120,0
53159,66,Female,Los Angeles,16,67.27,204,0
53174,67,Female,Los Angeles,15,53.5,162,0
53176,68,Female,Chicago,1,42.79,494,0
53195,68,Male,Miami,8,80.26,291,0
53198,65,Male,Chicago,8,73.66,263,1
53211,66,Female,Miami,4,55.66,308,1
53213,67,Female,Los Angeles,2,94.63,268,0
53220,68,Female,New York,18,81.17,373,1
53222,70,Female,Los Angeles,14,86.56,434,0
53235,65,Male,Chicago,3,72.01,99,0
53237,70,Female,New York,13,72.51,435,1
53240,67,Male,Miami,10,79.09,306,0
53242,65,Male,Miami,10,39.6,478,0
53249,67,Female,Miami,13,91.42,74,0
53265,70,Female,Houston,4,48.21,157,0
53270,70,Female,New York,7,51.35,229,0
53273,66,Female,New York,3,33.46,352,1
53274,65,Female,Miami,10,48.65,289,0
53281,70,Male,New York,19,54.12,284,0
53286,66,Female,Los Angeles,5,87.74,332,0
53303,69,Male,New York,23,42.26,220,0
53308,70,Male,Miami,18,63.05,162,1
53322,68,Male,Miami,10,45.3,115,1
53328,65,Male,Chicago,16,70.79,418,1
53329,70,Female,Houston,13,47.58,386,0
53336,66,Male,Los Angeles,15,52.6,101,0
53346,68,Female,Chicago,16,64.53,247,0
53351,70,Female,Chicago,14,51.27,211,0
53356,65,Female,Los Angeles,16,55.41,411,0
53372,65,Male,Miami,22,35.72,400,0
53386,69,Male,Houston,11,54.8,473,0
53387,70,Male,Los Angeles,15,36.95,344,0
53399,70,Female,New York,13,62.5,223,1
53405,68,Female,Chicago,18,93.6,405,1
53406,69,Female,Chicago,15,47.91,318,1
53412,66,Female,Los Angeles,15,53.53,321,1
53427,69,Male,Los Angeles,18,32.31,358,1
53450,67,Female,Los Angeles,6,64.45,412,1
53469,67,Female,Chicago,20,98.56,230,0
53494,67,Female,Los Angeles,5,34.2,170,0
53501,67,Female,Miami,23,37.07,186,1
53505,69,Female,Los Angeles,18,38.58,94,1
53515,65,Female,Chicago,18,73.38,448,1
53516,65,Male,Miami,23,92.4,142,1
53531,66,Female,Chicago,10,76.18,350,0
53533,70,Male,Houston,8,45.33,449,1
53535,68,Female,New York,5,67.03,172,1
53539,67,Male,New York,21,88.05,53,0
53548,67,Female,New York,3,35.94,374,0
53558,68,Female,Los Angeles,18,42.4,268,1
53564,70,Male,Los Angeles,22,84.4,304,0
53575,66,Female,Los Angeles,11,69.06,425,1
53590,69,Female,New York,7,44.62,321,1
53599,70,Female,Miami,13,33.43,310,0
53606,70,Female,Los Angeles,19,98.27,204,1
53611,67,Male,Miami,5,74.9,377,1
53624,66,Male,Chicago,21,82.11,465,1
53627,70,Female,Houston,9,74.31,317,0
53634,68,Male,Miami,3,52.1,205,1
53636,70,Female,Los Angeles,18,85.01,396,1
53651,68,Male,Houston,15,64.34,444,1
53652,69,Female,Miami,1,73.65,440,1
53654,69,Female,Houston,22,79.65,143,0
53678,67,Female,Miami,16,76.55,52,0
53682,66,Male,Los Angeles,1,88.21,284,1
53702,70,Female,Chicago,4,38.88,361,1
53706,65,Female,Chicago,24,71.54,140,1
53717,67,Female,Miami,23,88.14,332,0
53720,66,Female,Miami,24,93.06,96,1
53726,67,Male,Chicago,4,81.15,162,0
53739,66,Female,New York,9,88.25,79,1
53740,65,Male,Los Angeles,8,45.41,453,0
53754,69,Male,Los Angeles,11,48.6,192,1
53757,70,Female,Los Angeles,7,59.12,206,1
53760,69,Male,New York,23,85.85,349,0
53762,68,Female,Chicago,20,34.01,225,0
53773,65,Female,Chicago,19,85.97,499,0
53784,67,Male,Houston,10,64.49,370,0
53812,70,Male,Los Angeles,19,77.89,414,0
53819,69,Female,Miami,19,81.07,349,0
53829,67,Female,Miami,6,47.8,372,0
53832,68,Male,New York,23,70.4,62,1
53833,70,Female,Houston,21,39.03,179,1
53838,70,Male,Miami,16,60.45,439,1
53848,68,Female,New York,10,99.49,89,1
53852,70,Male,New York,6,88.39,474,0
53869,68,Female,Houston,24,78.63,71,1
53874,70,Female,Los Angeles,8,56.73,67,0
53875,66,Male,Miami,7,39.81,491,1
53890,66,Male,Houston,8,37.91,462,0
53894,67,Female,Miami,15,78.26,217,1
53906,70,Female,New York,6,66.94,482,1
53907,67,Female,Houston,2,75.03,467,1
53922,70,Female,New York,17,37.38,98,0
53944,70,Female,Miami,15,53.15,445,0
53953,66,Female,Miami,24,90.13,80,0
53960,70,Female,New York,1,98.04,74,0
53961,67,Male,Los Angeles,17,87.79,405,0
53980,66,Male,New York,13,67.0,351,1
53998,66,Male,Miami,22,39.85,136,1
54005,69,Female,Houston,16,68.51,254,1
54013,65,Female,Chicago,2,78.94,332,1
54026,67,Female,Miami,17,42.78,205,0
54033,66,Male,Los Angeles,8,61.47,237,0
54047,65,Male,Chicago,12,68.24,462,0
54061,65,Male,Chicago,6,33.42,164,1
54066,66,Male,Chicago,23,78.82,320,0
54069,70,Male,Los Angeles,16,53.01,127,1
54075,68,Female,Miami,9,39.38,51,0
54083,70,Female,Los Angeles,9,98.55,163,0
54086,69,Male,New York,20,33.16,149,1
54091,66,Male,Miami,10,84.76,190,1
54100,70,Female,New York,3,65.2,365,0
54101,70,Female,Chicago,17,96.98,175,1
54102,67,Male,New York,20,44.16,455,0
54110,67,Female,Houston,17,85.78,163,0
54121,65,Male,Chicago,8,49.65,495,0
54149,70,Male,Los Angeles,2,85.82,311,1
54150,68,Female,Houston,4,56.63,479,0
54153,70,Female,New York,12,78.55,431,1
54168,70,Male,Houston,3,98.44,197,1
54174,68,Female,Miami,2,43.89,479,1
54179,68,Female,Chicago,17,90.5,60,1
54180,68,Male,New York,5,49.34,438,0
54183,70,Male,Houston,3,88.27,177,1
54190,70,Female,Houston,8,81.25,284,0
54203,66,Female,New York,12,93.37,302,1
54225,70,Female,Miami,3,95.83,260,0
54241,66,Male,Chicago,2,85.95,197,1
54246,66,Female,Miami,3,68.68,416,0
54262,66,Male,Chicago,7,92.32,311,0
54266,69,Male,New York,6,93.96,321,0
54285,67,Female,Houston,10,65.52,496,0
54294,68,Male,Houston,9,37.47,386,0
54329,69,Male,Houston,4,57.89,465,1
54334,65,Female,Chicago,4,42.56,109,0
54345,65,Female,Miami,22,89.74,484,0
54359,65,Female,Chicago,18,39.85,267,1
54363,65,Male,Houston,11,54.67,376,0
54376,66,Female,Miami,2,86.54,144,1
54401,70,Female,Chicago,5,98.5,301,0
54410,68,Female,Chicago,13,30.86,471,0
54411,67,Male,Los Angeles,14,47.54,146,1
54420,65,Female,Miami,15,99.54,439,0
54435,67,Female,New York,4,81.99,161,0
54439,65,Female,Houston,19,31.57,141,1
54445,66,Female,Houston,14,97.81,220,1
54451,69,Female,Los Angeles,8,32.74,75,1
54459,69,Male,Houston,17,95.82,298,0
54464,67,Male,Miami,16,80.09,304,1
54478,70,Male,New York,12,93.3,481,1
54482,65,Female,Los Angeles,11,99.68,373,0
54496,69,Male,Chicago,13,99.77,298,0
54498,67,Female,Houston,1,61.17,401,0
54504,66,Male,Los Angeles,13,35.94,117,1
54506,65,Male,Houston,24,30.91,405,1
54511,65,Female,Los Angeles,19,69.36,243,0
54524,68,Male,Chicago,13,97.86,133,1
54525,67,Female,Los Angeles,23,56.25,288,1
54533,65,Female,Chicago,1,49.8,111,0
54534,70,Male,Los Angeles,1,43.36,420,1
54570,69,Female,Chicago,8,32.14,111,1
54585,68,Female,New York,23,49.18,323,0
54588,67,Female,Los Angeles,21,67.87,433,0
54593,70,Female,Miami,15,61.81,125,0
54601,69,Male,Houston,14,70.33,385,0
54606,66,Female,Miami,16,87.0,130,1
54612,70,Female,Los Angeles,23,84.49,415,1
54616,69,Female,Houston,20,45.07,327,0
54617,65,Female,Chicago,16,92.67,500,0
54623,70,Female,New York,22,46.71,364,0
54629,66,Male,Houston,12,33.4,225,1
54656,67,Female,New York,14,63.1,270,1
54674,68,Male,Los Angeles,2,84.68,376,0
54680,65,Female,Houston,16,95.47,322,0
54681,70,Male,Miami,21,35.86,195,1
54705,69,Female,Miami,10,71.67,327,0
54710,66,Male,Miami,20,72.1,439,0
54732,67,Female,Chicago,14,40.63,176,0
54733,67,Female,Chicago,11,64.2,98,1
54743,68,Female,Miami,22,52.22,262,0
54744,66,Male,Los Angeles,24,84.04,471,0
54753,67,Female,New York,16,74.7,271,0
54754,65,Male,Miami,23,86.6,440,1
54765,69,Female,Chicago,9,30.24,250,1
54774,65,Male,Miami,11,54.19,368,1
54795,70,Male,Miami,21,95.56,89,1
54796,66,Female,New York,18,57.53,472,0
54797,69,Female,Los Angeles,13,64.58,400,1
54801,69,Female,Miami,23,42.34,185,1
54814,68,Male,New York,10,45.03,364,1
54826,65,Male,New York,17,55.97,258,0
54828,70,Female,Los Angeles,16,89.56,238,1
54842,67,Male,Houston,6,53.22,408,1
54859,65,Male,Chicago,10,73.61,219,0
54860,67,Female,Los Angeles,24,32.82,168,1
54870,69,Male,New York,23,94.45,114,1
